date	close
06/03/1998	2930.860
09/03/1998	2962.520
10/03/1998	2959.090
11/03/1998	2974.450
12/03/1998	2967.950
13/03/1998	2999.970
16/03/1998	3029.490
17/03/1998	3053.960
18/03/1998	3035.470
19/03/1998	3048.630
20/03/1998	3086.080
23/03/1998	3113.920
24/03/1998	3143.370
25/03/1998	3179.720
26/03/1998	3135.270
27/03/1998	3150.900
30/03/1998	3137.030
31/03/1998	3153.320
01/04/1998	3196.050
02/04/1998	3230.540
03/04/1998	3268.700
06/04/1998	3345.860
07/04/1998	3286.690
08/04/1998	3253.580
09/04/1998	3264.150
14/04/1998	3283.050
15/04/1998	3289.710
16/04/1998	3251.870
17/04/1998	3267.750
20/04/1998	3298.980
21/04/1998	3294.930
22/04/1998	3272.200
23/04/1998	3226.140
24/04/1998	3174.180
27/04/1998	3061.040
28/04/1998	3153.550
29/04/1998	3118.370
30/04/1998	3195.430
01/05/1998	3195.430
04/05/1998	3309.960
05/05/1998	3261.380
06/05/1998	3262.550
07/05/1998	3216.030
08/05/1998	3216.030
11/05/1998	3297.560
12/05/1998	3290.860
13/05/1998	3304.420
14/05/1998	3305.410
15/05/1998	3304.690
18/05/1998	3253.330
19/05/1998	3313.720
20/05/1998	3352.250
21/05/1998	3352.250
22/05/1998	3371.390
25/05/1998	3422.420
26/05/1998	3424.550
27/05/1998	3340.510
28/05/1998	3338.800
29/05/1998	3357.770
01/06/1998	3357.770
02/06/1998	3368.290
03/06/1998	3399.220
04/06/1998	3375.030
05/06/1998	3421.550
08/06/1998	3443.760
09/06/1998	3415.770
10/06/1998	3424.650
11/06/1998	3393.760
12/06/1998	3303.010
15/06/1998	3253.910
16/06/1998	3269.060
17/06/1998	3330.550
18/06/1998	3291.140
19/06/1998	3258.160
22/06/1998	3252.120
23/06/1998	3309.480
24/06/1998	3330.290
25/06/1998	3391.880
26/06/1998	3395.410
29/06/1998	3431.060
30/06/1998	3406.820
01/07/1998	3464.960
02/07/1998	3471.650
03/07/1998	3506.450
06/07/1998	3518.790
07/07/1998	3530.930
08/07/1998	3553.070
09/07/1998	3542.200
10/07/1998	3532.650
13/07/1998	3551.740
14/07/1998	3576.680
15/07/1998	3602.830
16/07/1998	3613.400
17/07/1998	3658.480
20/07/1998	3670.820
21/07/1998	3649.960
22/07/1998	3582.120
23/07/1998	3582.160
24/07/1998	3570.670
27/07/1998	3512.620
28/07/1998	3500.560
29/07/1998	3494.530
30/07/1998	3529.500
31/07/1998	3480.630
03/08/1998	3422.750
04/08/1998	3412.660
05/08/1998	3344.150
06/08/1998	3290.500
07/08/1998	3348.610
10/08/1998	3282.700
11/08/1998	3187.440
12/08/1998	3248.140
13/08/1998	3240.830
01/09/1998	2950.010
02/09/1998	3035.730
03/09/1998	2971.380
04/09/1998	3003.660
07/09/1998	3038.090
08/09/1998	3105.310
09/09/1998	3051.490
10/09/1998	2903.710
11/09/1998	2890.980
14/09/1998	2968.550
15/09/1998	2947.010
16/09/1998	2971.830
17/09/1998	2826.220
18/09/1998	2781.690
21/09/1998	2658.270
22/09/1998	2726.320
23/09/1998	2820.290
24/09/1998	2789.070
25/09/1998	2743.040
28/09/1998	2785.630
29/09/1998	2760.260
30/09/1998	2670.970
01/10/1998	2533.070
02/10/1998	2488.590
05/10/1998	2445.890
06/10/1998	2586.690
07/10/1998	2541.080
08/10/1998	2419.230
09/10/1998	2469.870
12/10/1998	2628.440
13/10/1998	2674.130
14/10/1998	2742.950
15/10/1998	2741.340
16/10/1998	2780.890
19/10/1998	2779.790
20/10/1998	2863.890
21/10/1998	2818.180
22/10/1998	2797.330
23/10/1998	2806.220
